央视频道,#genre#
CCTV-十套,rtsp://222.85.69.145/PLTV/88888888/224/3221226542/10000100000000060000000000416348_0.smil
CCTV-十一套,rtsp://222.85.69.145/PLTV/88888888/224/3221226511/10000100000000060000000000428956_0.smil
CCTV-十二套,rtsp://222.85.69.145/PLTV/88888888/224/3221226514/10000100000000060000000000428961_0.smil
CCTV-新闻,rtsp://222.85.69.145/PLTV/88888888/224/3221226508/10000100000000060000000000428965_0.smil
CCTV-少儿,rtsp://222.85.69.145/PLTV/88888888/224/3221226517/10000100000000060000000000428967_0.smil
CCTV-音乐,rtsp://222.85.69.145/PLTV/88888888/224/3221226520/10000100000000060000000000428969_0.smil
CCTV-16-4K,rtsp://222.85.69.145/PLTV/88888888/224/3221227205/10000100000000060000000002601585_0.smil
CCTV-十七套,rtsp://222.85.69.145/PLTV/88888888/224/3221226551/10000100000000060000000000416344_0.smil
CCTV-5+,rtsp://222.85.69.145/PLTV/88888888/224/3221226583/10000100000000060000000000527265_0.smil
中国教育-1,rtsp://222.85.69.145/PLTV/88888888/224/3221226416/10000100000000060000000000398818_0.smil
河南移动电视,rtsp://222.85.69.145/PLTV/88888888/224/3221227178/10000100000000060000000002107846_0.smil
CGTN,rtsp://222.85.69.145/PLTV/88888888/224/3221226605/10000100000000060000000000430964_0.smil
家有购物,rtsp://222.85.69.145/PLTV/88888888/224/3221226418/10000100000000060000000000401666_0.smil
优购物,rtsp://222.85.69.145/PLTV/88888888/224/3221226736/10000100000000060000000001246431_0.smil
环球购物,rtsp://222.85.69.145/PLTV/88888888/224/3221226739/10000100000000060000000001246432_0.smil
央广购物,rtsp://222.85.69.145/PLTV/88888888/224/3221226745/10000100000000060000000001246434_0.smil
风尚购物,rtsp://222.85.69.145/PLTV/88888888/224/3221226742/10000100000000060000000001246433_0.smil
河南卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226400/10000100000000060000000000427502_0.smil
都市频道,rtsp://222.85.69.145/PLTV/88888888/224/3221226403/10000100000000060000000000427507_0.smil
民生频道,rtsp://222.85.69.145/PLTV/88888888/224/3221226406/10000100000000060000000000427509_0.smil
法治频道,rtsp://222.85.69.145/PLTV/88888888/224/3221226409/10000100000000060000000000427515_0.smil
电视剧频道,rtsp://222.85.69.145/PLTV/88888888/224/3221226412/10000100000000060000000000427558_0.smil
新闻频道,rtsp://222.85.69.145/PLTV/88888888/224/3221226415/10000100000000060000000000427594_0.smil
欢腾购物,rtsp://222.85.69.145/PLTV/88888888/224/3221226532/10000100000000060000000000428995_0.smil
公共频道,rtsp://222.85.69.145/PLTV/88888888/224/3221226562/10000100000000060000000000428997_0.smil
乡村频道,rtsp://222.85.69.145/PLTV/88888888/224/3221226632/10000100000000060000000000430974_0.smil
国际频道,rtsp://222.85.69.145/PLTV/88888888/224/3221226635/10000100000000060000000000430975_0.smil
睛彩中原,rtsp://222.85.69.145/PLTV/88888888/224/3221226668/10000100000000060000000000982550_0.smil
移动戏曲,rtsp://222.85.69.145/PLTV/88888888/224/3221226577/10000100000000060000000000489636_0.smil
文物宝库,rtsp://222.85.69.145/PLTV/88888888/224/3221226541/10000100000000060000000000429019_0.smil
梨园频道,rtsp://222.85.69.145/PLTV/88888888/224/3221226544/10000100000000060000000000429017_0.smil
武术世界,rtsp://222.85.69.145/PLTV/88888888/224/3221226568/10000100000000060000000000429030_0.smil
美食汇,rtsp://222.85.69.145/PLTV/88888888/224/3221226644/10000100000000060000000000430982_0.smil
棋牌汇,rtsp://222.85.69.145/PLTV/88888888/224/3221226647/10000100000000060000000000430983_0.smil
调解剧场,rtsp://222.85.69.145/PLTV/88888888/224/3221226638/10000100000000060000000000430976_0.smil
国学频道,rtsp://222.85.69.145/PLTV/88888888/224/3221227059/10000100000000060000000001785209_0.smil
欢腾购物,rtsp://222.85.69.145/PLTV/88888888/224/3221227062/10000100000000060000000001785298_0.smil
浙江卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226586/10000100000000060000000000527296_0.smil
东方卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226592/10000100000000060000000000527306_0.smil
江苏卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226595/10000100000000060000000000527324_0.smil
北京卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226410/10000100000000060000000000398814_0.smil
广东卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226505/10000100000000060000000000428951_0.smil
黑龙江卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226502/10000100000000060000000000428953_0.smil
山东卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226422/10000100000000060000000000398835_0.smil
安徽卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226407/10000100000000060000000000398811_0.smil
辽宁卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226491/10000100000000060000000000400017_0.smil
陕西卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226434/10000100000000060000000000398848_0.smil
贵州卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226425/10000100000000060000000000398838_0.smil
河北卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226446/10000100000000060000000000399661_0.smil
江西卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226449/10000100000000060000000000399662_0.smil
湖南卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226589/10000100000000060000000000527302_0.smil
深圳卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226413/10000100000000060000000000398816_0.smil
四川卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226440/10000100000000060000000000399659_0.smil
湖北卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226443/10000100000000060000000000399660_0.smil
天津卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226488/10000100000000060000000000400018_0.smil
云南卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226431/10000100000000060000000000399658_0.smil
重庆卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226419/10000100000000060000000000398821_0.smil
吉林卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226494/10000100000000060000000000400016_0.smil
宁夏卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226500/10000100000000060000000000400014_0.smil
东南卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226428/10000100000000060000000000398844_0.smil
内蒙古卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226503/10000100000000060000000000400013_0.smil
广西卫视,rtsp://222.85.69.145/PLTV/88888888/224/3221226437/10000100000000060000000000398849_0.smil
